Seqno,RecvTime,U1,I1,U2,I2,U3,I3
0,1743738062334352,-281.249,-12.783,25.417,1.155,255.832,11.628
1,1743738062334416,-287.448,-13.064,40.612,1.847,246.836,11.222
2,1743738062334424,-292.936,-13.314,55.699,2.531,237.237,10.783
3,1743738062334432,-297.735,-13.531,70.657,3.210,227.079,10.321
4,1743738062334448,-301.803,-13.720,85.442,3.884,216.361,9.836
5,1743738062334455,-305.139,-13.873,100.013,4.544,205.148,9.324
6,1743738062334462,-307.765,-13.988,114.346,5.195,193.418,8.793
7,1743738062334469,-309.637,-14.076,128.400,5.837,181.215,8.239
8,1743738062334476,-310.756,-14.127,142.153,6.461,168.603,7.661
9,1743738062334483,-311.122,-14.141,155.561,7.070,155.561,7.070
10,1743738062334490,-310.756,-14.127,168.603,7.661,142.153,6.461
11,1743738062334496,-309.637,-14.076,181.215,8.239,128.400,5.837
12,1743738062334503,-307.765,-13.988,193.418,8.793,114.346,5.195
13,1743738062334510,-305.139,-13.873,205.148,9.324,100.013,4.544
14,1743738062334517,-301.803,-13.720,216.361,9.836,85.442,3.884
15,1743738062334524,-297.735,-13.531,227.079,10.321,70.657,3.210
16,1743738062334531,-292.936,-13.314,237.237,10.783,55.699,2.531
17,1743738062334538,-287.448,-13.064,246.836,11.222,40.612,1.847
18,1743738062334545,-281.249,-12.783,255.832,11.628,25.417,1.155
19,1743738062334552,-274.384,-12.473,264.204,12.012,10.180,0.462
20,1743738062334560,-266.873,-12.132,271.952,12.363,-5.101,-0.231
21,1743738062334567,-258.694,-11.758,279.033,12.686,-20.338,-0.924
22,1743738062334574,-249.892,-11.360,285.468,12.977,-35.554,-1.616
23,1743738062334581,-240.508,-10.931,291.193,13.235,-50.684,-2.304
24,1743738062334588,-230.522,-10.478,296.207,13.466,-65.685,-2.983
25,1743738062354669,-219.998,-9.998,300.533,13.660,-80.535,-3.662
26,1743738062354701,-208.936,-9.499,304.106,13.822,-95.170,-4.327
27,1743738062354707,-197.378,-8.973,306.968,13.951,-109.590,-4.983
28,1743738062354712,-185.347,-8.423,309.099,14.048,-123.752,-5.625
29,1743738062354718,-172.843,-7.855,310.455,14.113,-137.612,-6.253
30,1743738062354723,-159.952,-7.269,311.079,14.141,-151.127,-6.872
31,1743738062354729,-146.672,-6.668,310.950,14.136,-164.299,-7.467
32,1743738062354734,-133.027,-6.045,310.089,14.094,-177.061,-8.049
33,1743738062354740,-119.060,-5.412,308.475,14.020,-189.394,-8.608
34,1743738062354745,-104.812,-4.766,306.107,13.914,-201.295,-9.148
35,1743738062354750,-90.306,-4.105,303.008,13.771,-212.680,-9.666
36,1743738062354756,-75.607,-3.436,299.177,13.600,-223.571,-10.164
37,1743738062354761,-60.692,-2.757,294.615,13.392,-233.923,-10.631
38,1743738062354767,-45.648,-2.074,289.363,13.152,-243.694,-11.079
39,1743738062354772,-30.497,-1.385,283.402,12.880,-252.905,-11.494
40,1743738062354778,-15.259,-0.693,276.751,12.580,-261.492,-11.887
41,1743738062354784,0.000,0.000,269.434,12.247,-269.434,-12.247
42,1743738062354789,15.259,0.693,261.492,11.887,-276.751,-12.580
43,1743738062354795,30.497,1.385,252.905,11.494,-283.402,-12.880
44,1743738062354800,45.648,2.074,243.694,11.079,-289.363,-13.152
45,1743738062354806,60.692,2.757,233.923,10.631,-294.615,-13.392
46,1743738062354812,75.607,3.436,223.571,10.164,-299.177,-13.600
47,1743738062354817,90.306,4.105,212.680,9.666,-303.008,-13.771
48,1743738062354822,104.812,4.766,201.295,9.148,-306.107,-13.914
49,1743738062354827,119.060,5.412,189.394,8.608,-308.475,-14.020
50,1743738062354833,133.027,6.045,177.061,8.049,-310.089,-14.094
51,1743738062354838,146.672,6.668,164.299,7.467,-310.950,-14.136
52,1743738062354844,159.952,7.269,151.127,6.872,-311.079,-14.141
53,1743738062354849,172.843,7.855,137.612,6.253,-310.455,-14.113
54,1743738062354854,185.347,8.423,123.752,5.625,-309.099,-14.048
55,1743738062354859,197.378,8.973,109.590,4.983,-306.968,-13.951
56,1743738062354864,208.936,9.499,95.170,4.327,-304.106,-13.822
57,1743738062354870,219.998,9.998,80.535,3.662,-300.533,-13.660
