time,name,value
0,u1,-334.6671
0,i1,3.6944480000000004
0,u2,0
0,i2,0
0,u3,0.495006
0,i3,0.48951436000000004
0.15625,u1,-334.537968
0.15625,i1,3.6944480000000004
0.15625,u2,0
0.15625,i2,0
0.15625,u3,2.47503
0.15625,i3,0.38791704000000005
0.3125,u1,-334.322748
0.3125,i1,0.46180600000000005
0.3125,u2,0
0.3125,i2,0
0.3125,u3,4.713318
0.3125,i3,-0.9005217000000001
0.46875,u1,-333.67708799999997
0.46875,i1,1.8472240000000002
0.46875,u2,0
0.46875,i2,0
0.46875,u3,-10.804044
0.46875,i3,3.32038514
0.625,u1,-332.57946599999997
0.625,i1,-0.9236120000000001
0.625,u2,0
0.625,i2,0
0.625,u3,3.787872
0.625,i3,-0.12930568
0.78125,u1,-329.351166
0.78125,i1,-3.2326420000000002
0.78125,u2,0
0.78125,i2,0
0.78125,u3,13.9893
0.78125,i3,-5.9665335200000005
0.9375,u1,-324.487194
0.9375,i1,-1.8472240000000002
0.9375,u2,0
0.9375,i2,0
0.9375,u3,-0.6671819999999999
0.9375,i3,0.51722272
1.09375,u1,-315.706218
1.09375,i1,-1.385418
1.09375,u2,0
1.09375,i2,0
1.09375,u3,1.764804
1.09375,i3,0.61882004
1.25,u1,-300.619296
1.25,i1,-4.156254000000001
1.25,u2,0
1.25,i2,0
1.25,u3,2.066112
1.25,i3,0.21243076
1.40625,u1,-284.757582
1.40625,i1,4.156254000000001
1.40625,u2,0
1.40625,i2,0
1.40625,u3,1.893936
1.40625,i3,0.18010434
1.5625,u1,-271.15567799999997
1.5625,i1,3.6944480000000004
1.5625,u2,0
1.5625,i2,0
1.5625,u3,1.7863259999999999
1.5625,i3,0.34173644000000003
1.71875,u1,-260.287068
1.71875,i1,-3.2326420000000002
1.71875,u2,0
1.71875,i2,0
1.71875,u3,3.185256
1.71875,i3,0.07388896
1.875,u1,-251.549136
1.875,i1,-0.46180600000000005
1.875,u2,0
1.875,i2,0
1.875,u3,-0.6671819999999999
1.875,i3,0.00461806
2.03125,u1,-243.30621
2.03125,i1,-4.61806
2.03125,u2,0
2.03125,i2,0
2.03125,u3,4.067658
2.03125,i3,0.79430632
2.1875,u1,-234.202404
2.1875,i1,1.385418
2.1875,u2,0
2.1875,i2,0
2.1875,u3,0.946968
2.1875,i3,-2.09198118
2.34375,u1,-224.194674
2.34375,i1,-5.541672
2.34375,u2,0
2.34375,i2,0
2.34375,u3,-15.689537999999999
2.34375,i3,-2.16125208
2.5,u1,-211.711914
2.5,i1,5.079866
2.5,u2,0
2.5,i2,0
2.5,u3,2.754816
2.5,i3,1.12680664
2.65625,u1,-195.63497999999998
2.65625,i1,7.850702000000001
2.65625,u2,0
2.65625,i2,0
2.65625,u3,1.9154579999999999
2.65625,i3,0.52645884
2.8125,u1,-177.534978
2.8125,i1,3.6944480000000004
2.8125,u2,0
2.8125,i2,0
2.8125,u3,4.4120099999999995
2.8125,i3,-0.28631972
2.96875,u1,-158.78931599999999
2.96875,i1,-1.385418
2.96875,u2,0
2.96875,i2,0
2.96875,u3,-7.016172
2.96875,i3,2.13816178
3.125,u1,-140.301918
3.125,i1,3.6944480000000004
3.125,u2,0
3.125,i2,0
3.125,u3,-10.287516
3.125,i3,2.84934302
3.28125,u1,-122.30952599999999
3.28125,i1,-4.61806
3.28125,u2,0
3.28125,i2,0
3.28125,u3,5.983116
3.28125,i3,-0.66038258
3.4375,u1,-104.403222
3.4375,i1,0
3.4375,u2,0
3.4375,i2,0
3.4375,u3,1.9154579999999999
3.4375,i3,0.14777792
3.59375,u1,-87.05649
3.59375,i1,-6.003478
3.59375,u2,0
3.59375,i2,0
3.59375,u3,2.8839479999999997
3.59375,i3,0.25861136
3.75,u1,-69.752802
3.75,i1,11.545150000000001
3.75,u2,0
3.75,i2,0
3.75,u3,0.10761
3.75,i3,0.24937524
3.90625,u1,-52.363026
3.90625,i1,-1.385418
3.90625,u2,0
3.90625,i2,0
3.90625,u3,3.077646
3.90625,i3,-0.17086822000000002
4.0625,u1,-35.40369
4.0625,i1,-2.30903
4.0625,u2,0
4.0625,i2,0
4.0625,u3,1.743282
4.0625,i3,0.64191034
4.21875,u1,-18.272178
4.21875,i1,-1.8472240000000002
